source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,ruwe
4009518100151157248,185.48394014197206,27.30947053095478,11.818283802265105,0.026966056,-13.36134616626645,0.02534945,-8.9011311936449,0.027762817,8.398304,0.62530136,1.1998112
4010499895315622656,188.96795361729946,27.844762906680568,11.388137426190351,0.08170221,-11.912875415712739,0.08347459,-8.548868202667208,0.083967954,16.951979,3.1304092,1.0189844
3959212286380277632,188.39252210704848,24.28294418702869,11.71652534450174,0.04131088,-11.97199187433482,0.035316654,-8.806387606493493,0.046080343,6.2437725,0.14582014,1.0339934
3960536716855239936,189.48455603559196,25.862557198188927,11.626214557788911,0.020448832,-12.576405296471885,0.019597098,-8.939372337310585,0.018553928,14.0227785,2.296155,1.0829241
4008314551531430784,185.56029598284624,25.448953909919005,11.76809178805785,0.09961151,-11.470994260071238,0.08726644,-9.588836730155908,0.09357759,17.181557,3.3376064,0.9466499
4009455054326835968,184.15536243858554,26.899438249617035,11.5095241037187,0.032620914,-12.426146091931923,0.031844072,-9.409782024614527,0.040792506,15.039103,2.6417084,1.1497105
3959922399093081216,187.01882867429828,24.352079431352994,11.840128277157346,0.03548234,-12.095968358300986,0.03742645,-9.23326271218446,0.03210303,15.190502,2.6679707,1.1740091
3960032041018245120,187.33390436968386,24.74283848051751,12.202853010199917,0.0755772,-12.534197499651572,0.081140585,-8.29596155833482,0.08474249,16.729687,3.1815424,1.000143
3960936801648700928,191.12489272290148,24.93404036458729,12.099572411240779,0.01958358,-12.240750620991573,0.019224612,-8.721059193823496,0.020575311,13.763654,2.264103,1.1449169
3953900747569804928,184.8299102226694,23.034629810214344,11.824573556442719,0.03223631,-12.539729829105854,0.034045964,-9.655580748272783,0.02863047,6.2304754,0.20151472,1.0925549
3960046330373501696,187.9021030337267,24.874191169760053,11.619429655950896,0.080931924,-11.846399340365124,0.0846971,-9.278470787974683,0.08488553,16.775969,3.2768316,0.97527426
3962424475240656896,188.68953022927246,27.386817568393404,12.119234297967314,0.12555964,-12.701292143094902,0.12990126,-9.536390950597196,0.11960483,17.65533,3.5399399,0.9700791
4003516420226625792,181.79991688821931,26.061171190088896,11.642770962945582,0.054694965,-12.066557955410923,0.051333442,-9.244171689686993,0.043191608,16.053488,2.8831768,1.0602797
4008227724472564864,185.3613539379576,24.99698546856985,11.558107322454866,0.045910172,-12.021453736621433,0.04544637,-9.404841810853757,0.03942267,7.3249645,0.38415194,1.0562626
4008366950132501120,186.11163418203722,25.582353825655503,11.806253771656015,0.02827696,-9.03157195385458,0.04069981,-10.819197700954948,0.028805388,6.6935577,0.28933668,1.0046703
